epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,769.998,1.02766,0.48761,1.21699,0.98259,0.97059,0.98706,0.68382,1.18152,0.45475,1.34572,0.000482,0.000482,0.000482
117,776.529,1.05489,0.48858,1.24556,0.98359,0.97059,0.99035,0.6658,1.3027,0.46219,1.43426,0.0004688,0.0004688,0.0004688
118,783.087,1.07447,0.49639,1.20612,0.98455,0.97059,0.98563,0.6862,1.16445,0.46353,1.39215,0.0004556,0.0004556,0.0004556
119,789.631,1.04786,0.50127,1.19145,0.9824,0.97059,0.98511,0.6854,1.19766,0.45041,1.40589,0.0004424,0.0004424,0.0004424
120,796.175,1.04076,0.49248,1.20951,1,0.96579,0.98745,0.69604,1.20795,0.46329,1.36985,0.0004292,0.0004292,0.0004292
121,802.792,1.00374,0.49415,1.16381,0.98327,0.97059,0.98611,0.68834,1.16412,0.44244,1.37505,0.000416,0.000416,0.000416
122,809.334,1.02437,0.49702,1.18757,0.99855,0.98529,0.99407,0.67234,1.19021,0.44522,1.3799,0.0004028,0.0004028,0.0004028
123,815.904,1.00755,0.48051,1.16081,0.98506,0.96967,0.98811,0.67169,1.19887,0.46502,1.3951,0.0003896,0.0003896,0.0003896
124,822.429,1.02211,0.48708,1.16703,0.98505,0.9687,0.98398,0.67078,1.25203,0.50469,1.39488,0.0003764,0.0003764,0.0003764
125,828.964,1.00868,0.47275,1.17013,0.98353,0.95588,0.98285,0.67131,1.19066,0.44951,1.3838,0.0003632,0.0003632,0.0003632
126,835.55,1.03201,0.48755,1.1739,0.98485,0.95581,0.98435,0.68902,1.14273,0.45832,1.36269,0.00035,0.00035,0.00035
127,842.044,1.01736,0.48903,1.17246,0.98506,0.96994,0.98945,0.69329,1.14063,0.44886,1.37073,0.0003368,0.0003368,0.0003368
128,848.572,1.02255,0.48173,1.18172,0.98447,0.97059,0.98563,0.68046,1.24225,0.4712,1.38439,0.0003236,0.0003236,0.0003236
129,855.089,1.01063,0.48132,1.15662,1,0.98502,0.99471,0.68636,1.18031,0.45399,1.40003,0.0003104,0.0003104,0.0003104
130,861.619,1.03324,0.48557,1.19931,0.98503,0.96787,0.98445,0.68327,1.18624,0.44288,1.36994,0.0002972,0.0002972,0.0002972
131,868.204,0.99783,0.47578,1.15057,0.98501,0.96635,0.9844,0.67748,1.17892,0.453,1.3711,0.000284,0.000284,0.000284
132,874.744,1.00812,0.47792,1.17201,0.96855,0.97059,0.98394,0.68288,1.16023,0.43953,1.36038,0.0002708,0.0002708,0.0002708
133,881.273,1.00152,0.47955,1.17848,0.96939,0.97059,0.98395,0.68602,1.17304,0.44488,1.3677,0.0002576,0.0002576,0.0002576
134,887.824,0.95752,0.46294,1.17474,0.96819,0.97059,0.98438,0.69525,1.1712,0.43909,1.3558,0.0002444,0.0002444,0.0002444
135,894.401,0.96573,0.46412,1.14059,0.98484,0.95507,0.98425,0.69021,1.17802,0.44898,1.36176,0.0002312,0.0002312,0.0002312
136,900.998,1.01078,0.48363,1.16311,0.98232,0.95588,0.98513,0.67748,1.21065,0.45264,1.39258,0.000218,0.000218,0.000218
137,907.538,0.98077,0.47389,1.16354,0.98503,0.9677,0.98364,0.6891,1.1829,0.4495,1.35736,0.0002048,0.0002048,0.0002048
138,914.055,0.97284,0.4693,1.14731,0.98507,0.97037,0.98239,0.67452,1.19141,0.45252,1.38172,0.0001916,0.0001916,0.0001916
139,920.579,0.95421,0.45869,1.13385,0.98451,0.97059,0.98367,0.6792,1.17778,0.45182,1.36372,0.0001784,0.0001784,0.0001784
140,927.127,0.97369,0.47011,1.15208,0.98296,0.97059,0.9849,0.68974,1.15263,0.4362,1.33809,0.0001652,0.0001652,0.0001652
141,934.96,0.97198,0.46881,1.2053,0.98396,0.97059,0.98444,0.6899,1.14096,0.43167,1.3309,0.000152,0.000152,0.000152
142,941.712,0.94083,0.45427,1.15088,0.98507,0.97055,0.98433,0.68848,1.16043,0.43587,1.35821,0.0001388,0.0001388,0.0001388
143,948.233,0.96401,0.45347,1.17849,1,0.98528,0.99256,0.66704,1.19601,0.44761,1.42438,0.0001256,0.0001256,0.0001256
144,954.771,0.92707,0.44796,1.15922,0.98507,0.97029,0.98201,0.68233,1.1723,0.43104,1.38911,0.0001124,0.0001124,0.0001124
145,961.31,0.92749,0.44612,1.16914,0.98502,0.97059,0.98282,0.68001,1.14711,0.42767,1.39413,9.92e-05,9.92e-05,9.92e-05
146,967.857,0.9184,0.4618,1.16934,0.98479,0.97059,0.98379,0.67856,1.14226,0.43049,1.38841,8.6e-05,8.6e-05,8.6e-05
147,974.398,0.93425,0.44392,1.19456,0.98454,0.97059,0.98403,0.67643,1.15561,0.43069,1.39359,7.28e-05,7.28e-05,7.28e-05
148,980.892,0.90059,0.44088,1.16135,0.98489,0.97059,0.98431,0.68132,1.17165,0.4377,1.39493,5.96e-05,5.96e-05,5.96e-05
149,987.437,0.88556,0.42752,1.15342,0.98507,0.97034,0.98433,0.67839,1.17739,0.43383,1.38991,4.64e-05,4.64e-05,4.64e-05
150,993.979,0.89684,0.44016,1.16488,0.98507,0.97003,0.98449,0.68061,1.181,0.43686,1.38927,3.32e-05,3.32e-05,3.32e-05
